(na),(na),,Sets,,,,,,,Maps,,,,,,,,Orders,,,,,Shims,,Generics,,,
Order,Method,Interface,Set,SortedSet,LruSet,LfuSet,SortedArraySet,FastSet,ArraySet,Map,MultiMap,SortedMap,LruMap,SortedArrayMap,FastMap,Dict,WeakMap,List,Deque,Heap,SortedArray,Iterator,Array,Object (not prototype),GenericCollection,GenericSet,GenericMap,GenericOrder
0a1,has(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(todo),(alt),SortedArray,(alt),(alt),(alt),,,,
0a2,"has(value, equals=)",order,(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,(todo),(maybe todo),(alt),(maybe todo),Array,(alt),,,,
0a3,has(key),map,(alt),(alt),(alt),(alt),(alt),(alt),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,WeakMap,(alt),(na),(alt),(alt),(alt),(alt),Object,,,GenericMap,
0b1a,get(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),SortedArray,(maybe todo),(alt),(alt),,,,
0b1b,"get(value, equals=)",order,(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,(alt),(alt),(alt),(alt),(alt),(alt),,,,
0b2a,get(key),(na),(na),(na),(na),(na),(na),(na),(alt),(na),(na),(na),(na),(na),(na),(na),WeakMap,(na),Deque,(na),(na),(alt),(na),(na),(na),(na),(na),(na)
0b2b,"get(key or index, defaultValue)",map,(alt),(alt),(alt),(alt),(alt),(alt),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(todo maybe),(alt),(na),(alt),(alt),(alt),Array,Object,,,GenericMap,
0c1,"set(key or index, value)","map, array",(na),(na),(na),(na),(na),(na),(na),GenericMap,MultiMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,WeakMap,(na),(na),(na),(na),(na),Array,Object,,,GenericMap,
0d1a1,add(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArraySet,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,Queue,Heap,SortedArray,(na),(alt),(alt),,,,
0d1a2,"add(value, key)",map,(na),(na),(na),(na),(na),(na),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(todo maybe),(na),(na),(na),(na),(na),(todo maybe),(todo maybe for the property change),,,GenericMap,
0d1b1,addEach(values),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),(alt),(alt),GenericCollection,GenericCollection,GenericCollection,GenericCollection,(alt),(alt),GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,(alt),GenericCollection,,,
0d1b2,addEach(map),map,(alt),(alt),(alt),(alt),(alt),(alt),(na),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,(todo maybe),(alt),(alt),(alt),(alt),(alt),(alt),Object,,,GenericMap,
0d2a1a,delete(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(na),Heap,SortedArray,(na),(alt),(alt),,,,
0d2a1b,"delete(value, equals)",order,(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,(na),(alt),(alt),(na),Array,(alt),,,,
0d2a2,delete(key or index),map,(alt),(alt),(alt),(alt),(alt),(alt),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,WeakMap,(alt),(na),(alt),(alt),(na),(alt),(todo maybe for the property change),,,GenericMap,
0d2b1,"deleteEach(keys or values, optional equals)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(alt),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo maybe),GenericCollection,(na),GenericCollection,GenericCollection,(na),GenericCollection,(todo maybe),GenericCollection,,,
0d2c,"deleteAll(value, equals)",(na),GenericSet,GenericSet,GenericSet,GenericSet,GenericSet,GenericSet,GenericSet,(na),(na),(na),(na),(na),(na),(na),(na),List,(na),(na),SortedArray,(na),Array,(na),,GenericSet,,
1a1,"indexOf(value, index)",array,(na),SortedSet,(na),(na),SortedArray O(log length),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),Deque,(na),SortedArray O(log length),(todo),(spec),(na),,,,
1a2,"lastIndexOf(value, index)",order,(na),(na because uniqueness guarantees equivalence to indexOf),(na),(na),SortedArray O(log length),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),Deque,(na),SortedArray O(log length),(todo),(spec),(na),,,,
1b1,"find(callback, thisp, index)",order,(todo),(todo),(na),(na),(todo),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),(todo),(na),(todo),(todo),ES6,(na),,,,
1b2,"findLast(callback, thisp, index)",order,(na),(na),(na),(na),(todo),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),(todo),(na),(todo),(todo),(todo),(na),,,,
1c1,"findIndex(callback, thisp, index)",order,(na),(todo),(na),(na),(todo),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),(todo),(na),(todo),(todo),ES6,(na),,,,
1c2,"findLastIndex(callback, thisp, index)",order,(na),(na),(na),(na),(todo),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(todo),(todo),(na),(todo),(todo),(todo),(na),,,,
1d1,"findValue(value, equals=, index) nee find",order,(na),SortedSet,(na),(na),SortedArray O(log length),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,Deque,(na),SortedArray O(log length),(na),(todo),(na),,,,
1d2,"findLastValue(value, equals=, index) nee findLast",order,(na),SortedSet,(na),(na),SortedArray O(log length),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,Deque,(na),SortedArray O(log length),(na),(todo),(na),,,,
1e,findLeast(),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(1),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(1),(na),(na),(na),,,,
1e1,findLeastGreaterThan(value),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(log n),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(log n),(na),(na),(na),,,,
1e2,findLeastGreaterThanOrEqual(value),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(log n),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(log n),(na),(na),(na),,,,
1f,findGreatest(),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(1),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(1),(na),(na),(na),,,,
1f1,findGreatestLessThan(value),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(log n),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(log n),(na),(na),(na),,,,
1f2,findGreatestLessThanOrEqual(value),sorted collection,(na),SortedSet,(na),(na),(todo) SortedArray O(log n),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(todo) SortedArray O(log n),(na),(na),(na),,,,
2-dequeue-1a,push(...values),dequeue,(maybe todo) GenericCollection,SortedSet,(maybe todo) GenericCollection,(maybe todo) GenericCollection,SortedArray O(log length),(maybe todo) GenericCollection,(na),(na),(na),(na),(na),(na),(na),(na),(na),List,Queue,Heap,SortedArray O(log length),(na),(spec),(na),,,,
2-dequeue-1b,unshift(...values),dequeue,(maybe todo) GenericCollection,SortedSet,(maybe todo) GenericCollection,(maybe todo) GenericCollection,SortedArray O(log length),(maybe todo) GenericCollection,(na),(na),(na),(na),(na),(na),(na),(na),(na),List,(todo),(na),SortedArray O(log length),(na),(spec),(na),,,,
2-dequeue-2a,pop(),dequeue,Set,SortedSet,(maybe todo),(maybe todo),SortedArray O(1),(maybe todo),(na),(na),(na),(na),(na),(na),(na),(na),(na),List,(todo),Heap,SortedArray O(1),(na),(spec),(na),,,,
2-dequeue-2b,shift(),dequeue,Set,SortedSet,(maybe todo),(maybe todo),SortedArray O(1),(maybe todo),(na),(na),(na),(na),(na),(na),(na),(na),(na),List,Queue,(na),SortedArray O(1),(na),(spec),(na),,,,
2-dequeue-3a,peek(),dequeue,(na),(maybe todo),(na),(na),(maybe todo),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),List (doc),(todo),Heap,(maybe todo),(na),(maybe todo),(na),,,,
2-dequeue-3b,poke(value),dequeue,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),List (doc),(todo),(na),(na),(na),(maybe todo),(na),,,,
3a,"slice(start, end)",array,(na),SortedSet,(na),(na),SortedArray,(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,(maybe todo),(na),SortedArray,(na),(spec),(na),,,,
3b,"splice(start, length, ...values)",array,(na),"SortedSet (removes in place, adds to proper positions)",(na),(na),SortedArray,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),List,(na),(na),SortedArray,(na),(spec),(na),,,,
3c,"swap(start, length, values)",array,(na),(maybe todo),(na),(na),SortedArray,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),List,(na),(na),SortedArray,(na),Array,(na),,,,
3d,clear(),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(maybe todo),List,Deque,Heap,SortedArray,(na),Array,Object,,,GenericMap,
4a1,sort(compare=),collection,(na),(na),(na),(na),(na),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(wont),(na),(na),(na),(na),(spec),(na),,,,
4a2,sorted(compare=),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
4a3,"group(cb, thisp, equals)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
4b1,reverse(),collection,(na),(wont),(na),(na),(na),(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,(todo),(na),(na),(na),(spec),(wont),,,,
4b2,reversed(),collection,(todo),(todo),(todo),(todo),(todo),(todo),(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,GenericCollection,(na),(wont),GenericCollection,GenericCollection,(wont),GenericCollection,,,
5a,keys(),map,(na),(na),(na),(na),(na),(na),(na),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,(na),(na),(na),(na),(na),(na),(wont),(spec),,,GenericMap,
5b,values(),"map, array",(na),(na),(na),(na),(na),(na),(na),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,(na),(na),(na),(na),(na),(na),(wont),Object,,,GenericMap,
5c,items(),map,(na),(na),(na),(na),(na),(na),(na),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,(na),(na),(na),(na),(na),(na),(wont),(wont),,,GenericMap,
6a1,"reduce(cb, basis, thisp)",collection,Set,SortedSet,LruSet,LfuSet,SortedArraySet,FastSet,(todo),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(na),List,Deque,Heap,SortedArray,Iterator,(spec),(wont),,,GenericMap,
6a2,"reduceRight(cb, basis, thisp)",collection,Set,SortedSet,LruSet,LfuSet,SortedArraySet,(fast set is not ordered),(todo),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(na),List,Deque,Heap,SortedArray,(na),(spec),(wont),,,GenericMap,
6b,"forEach(cb, thisp)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(spec),Object,GenericCollection,,,
6c,"map(cb, thisp)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(spec),Object,GenericCollection,,,
6d,"filter(cb, thisp)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(spec),(wont),GenericCollection,,,
6e1a,"every(cb, thisp)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(spec),(wont),GenericCollection,,,
6e1b,"some(cb, thisp)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(spec),(wont),GenericCollection,,,
6e2a,any(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
6e2b,all(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
6f1,min(),collection,GenericCollection,SortedSet,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
6f2,max(),collection,GenericCollection,SortedSet,GenericCollection,GenericCollection,SortedArray,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,Heap O(1),SortedArray,GenericCollection,GenericCollection,(wont),GenericCollection,,,
6g,sum(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,SortedArray,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,SortedArray,GenericCollection,GenericCollection,(wont),GenericCollection,,,
6h,average(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
7a,one(),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(todo),(todo),(todo),(todo),(todo),(todo),Dict,(na),List,Deque,Heap O(1),SortedArray,(maybe todo),Array,(wont),,,,
7b,only(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,(wont),GenericCollection,,,
8a,concat(...iterables),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,Iterator,(spec),Object,GenericCollection,,,
8b,flatten(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
8c,zip(...collections),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
8d,enumerate(zero=0),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
8e,join(delimiter),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(wont),GenericCollection,,,
9a1,equals(that),collection,GenericSet,GenericSet,GenericSet,GenericSet,(alt),GenericSet,(todo),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,(na),(alt),(alt),(na),(alt),(na),(alt),(alt),(na),GenericSet,GenericMap,(alt)
9a2,"equals(that, equals)",order,(alt),(alt),(alt),(alt),SortedArray,(alt),(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(na),GenericOrder,GenericOrder,(na),SortedArray,(na),Array,Object,(na),(alt),(alt),GenericOrder
9b,"compare(that, compare)",order,(na),(na),(na),(na),SortedArray,(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),GenericOrder,GenericOrder,(na),SortedArray,(na),Array,(na),,,,GenericOrder
a1,toArray(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(alt) Array.from,GenericCollection,,,
a2,toObject(),collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(alt) Object.from,GenericCollection,,,
b1,"clone(depth, memo)",collection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(todo),GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),GenericCollection,GenericCollection,GenericCollection,GenericCollection,(na),Array,Object,GenericCollection,,,
b2,constructClone(values),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),Map,MultiMap,SortedMap,LruMap,SortedArrayMap,FastMap,Dict,(na),List,Deque,Heap,SortedArray,Iterator,Array,(na),,,,
d1,union(that),set,GenericSet,GenericSet,GenericSet,GenericSet,(maybe todo) GenericMap,GenericSet,(todo),(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(na),(na),(na),(na),(na),(na),(na),(na),,GenericSet,,
d2,intersection(that),set,GenericSet,GenericSet,GenericSet,GenericSet,(maybe todo) GenericMap,GenericSet,(todo),(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(na),(na),(na),(na),(na),(na),(na),(na),,GenericSet,,
d3,difference(that),set,GenericSet,GenericSet,GenericSet,GenericSet,(maybe todo) GenericMap,GenericSet,(todo),(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(na),(na),(na),(na),(na),(na),(na),(na),,GenericSet,,
d4,symmetricDifference(that),set,GenericSet,GenericSet,GenericSet,GenericSet,(maybe todo) GenericMap,GenericSet,(todo),(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(maybe todo) GenericMap,(na),(na),(na),(na),(na),(na),(na),(na),,GenericSet,,
c1,iterate(),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(na),(na),(na),(na),(na),(na),(na),(na),List,(todo),(maybe todo),SortedArray,Iterator,Array,(na),,,,
c2,"iterate(start, end, stride)",array,(todo),SortedSet,(na),(na),(todo),(na),(todo),(todo),(todo),(todo),(todo),(todo),(todo),(todo),(na),(todo),(todo),(na),(todo),(todo),Array,(na),,,,
f1,"dropWhile(cb, thisp)",iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f2,"takeWhile(cb, thisp)",iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f3,"iterateMap(cb, thisp)",iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f4,"iterateFilter(cb, thisp)",iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f5,iterateZip(...iterators),iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f6,iterateUnzip(),,,,,,,,,,,,,,,,,,,,,,,,,,,
f7,iterateEnumerate(zero=0),iterator,(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),Iterator,(na),(na),,,,
f8,iterateConcat(...iterators),,,,,,,,,,,,,,,,,,,,,,,,,,,
f9,iterateFlatten(),,,,,,,,,,,,,,,,,,,,,,,,,,,
z1,Observable Object,object,X,X,X,X,X,X,(todo),X,X,X,X,X,X,X,(wont),X,X,X,X,(wont),X-,X-,,,,
z2,Observable Range,array,X,X,X,X,X,(na),(todo),(na),(na),(na),(na),(na),(na),(na),(na),X,X,X,X,(na),X-,(na),,,,
z3,Observable Map,map,(na),(na),(na),(na),(na),(na),(na),X,X,X,X,X,X,X,(na),(na),(na),X,(na),(na),X-,(na),,,,
z4,Observable Set,set,(todo),(todo),(todo),(todo),(todo),(todo),(todo),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na),(na)